Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014807	Vitamin D	D014807	1406-16-2	ADGRG1	9289	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	AKR1C1	1645	Homo sapiens	9606	30698894
d014807	Vitamin D	D014807	1406-16-2	ALB	213	Homo sapiens	9606	25590278
d014807	Vitamin D	D014807	1406-16-2	ANKRD22	118932	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	ANXA2	302	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	AQP9	366	Homo sapiens	9606	15336539
d014807	Vitamin D	D014807	1406-16-2	BECN1	8678	Homo sapiens	9606	30698894
d014807	Vitamin D	D014807	1406-16-2	BGLAP	632	Homo sapiens	9606	20055894
d014807	Vitamin D	D014807	1406-16-2	CD14	929	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	CD300A	11314	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	CEBPA	1050	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	CEBPB	1051	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	COL1A1	1277	Homo sapiens	9606	33309619
d014807	Vitamin D	D014807	1406-16-2	CSTF2T	23283	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	CXCL8	3576	Homo sapiens	9606	23281135
d014807	Vitamin D	D014807	1406-16-2	CYP24A1	1591	Homo sapiens	9606	20055894|21917910
d014807	Vitamin D	D014807	1406-16-2	CYP3A4	1576	Homo sapiens	9606	17965521
d014807	Vitamin D	D014807	1406-16-2	ESR2	2100	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	F13A1	2162	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	FABP4	2167	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	FASN	2194	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	FGF23	8074	Homo sapiens	9606	15284207|15838626|15956805|15961556|17710231
d014807	Vitamin D	D014807	1406-16-2	FOS	2353	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	GAS7	8522	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	GC	2638	Homo sapiens	9606	25590278|8370586
d014807	Vitamin D	D014807	1406-16-2	HRC	3270	Homo sapiens	9606	33309619
d014807	Vitamin D	D014807	1406-16-2	INS	3630	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	INSIG2	51141	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	ITGAM	3684	Homo sapiens	9606	15964820|20368581
d014807	Vitamin D	D014807	1406-16-2	ITGAX	3687	Homo sapiens	9606	15964820
d014807	Vitamin D	D014807	1406-16-2	ITGB2	3689	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	JUN	3725	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	KEAP1	9817	Homo sapiens	9606	30698894
d014807	Vitamin D	D014807	1406-16-2	KIT	3815	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	KL	9365	Homo sapiens	9606	17710231
d014807	Vitamin D	D014807	1406-16-2	LPL	4023	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	LRRC25	126364	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	LY75	4065	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	MCEMP1	199675	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	ME1	4199	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	MS4A6A	64231	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	NCOA1	8648	Homo sapiens	9606	21917910
d014807	Vitamin D	D014807	1406-16-2	NCOR2	9612	Homo sapiens	9606	21917910
d014807	Vitamin D	D014807	1406-16-2	NFE2L2	4780	Homo sapiens	9606	30698894
d014807	Vitamin D	D014807	1406-16-2	NR1I2	8856	Homo sapiens	9606	15885729
d014807	Vitamin D	D014807	1406-16-2	PIP5K1B	8395	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	PLD4	122618	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	PPARG	5468	Homo sapiens	9606	20368581|33836827
d014807	Vitamin D	D014807	1406-16-2	PTH	5741	Homo sapiens	9606	16608887|21556746|22118402
d014807	Vitamin D	D014807	1406-16-2	RGS1	5996	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	RXRA	6256	Homo sapiens	9606	21917910
d014807	Vitamin D	D014807	1406-16-2	SFTPB	6439	Homo sapiens	9606	21398497
d014807	Vitamin D	D014807	1406-16-2	SLC26A11	284129	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	SLC2A14	144195	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	SLC2A4	6517	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	SMAD3	4088	Homo sapiens	9606	33309619
d014807	Vitamin D	D014807	1406-16-2	SQSTM1	8878	Homo sapiens	9606	30698894
d014807	Vitamin D	D014807	1406-16-2	SREBF1	6720	Homo sapiens	9606	33836827
d014807	Vitamin D	D014807	1406-16-2	SULF2	55959	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	TGFB1	7040	Homo sapiens	9606	33309619
d014807	Vitamin D	D014807	1406-16-2	TGM2	7052	Homo sapiens	9606	15964820
d014807	Vitamin D	D014807	1406-16-2	TLR2	7097	Homo sapiens	9606	23281135
d014807	Vitamin D	D014807	1406-16-2	TLR4	7099	Homo sapiens	9606	23281135
d014807	Vitamin D	D014807	1406-16-2	TNFSF10	8743	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	TNFSF11	8600	Homo sapiens	9606	20055894
d014807	Vitamin D	D014807	1406-16-2	UBE2E1	7324	Homo sapiens	9606	20368581
d014807	Vitamin D	D014807	1406-16-2	VDR	7421	Homo sapiens	9606	16280049|21917910|30698894|33309619|33836827
