multiplex	node	score
2	WP5087	0.00287125634075211
2	WP4673	0.0008677817985273085
2	WP5124	0.0007754657617732311
2	WP2059	0.0007754657617732311
2	WP4298	0.0007307392988982056
2	WP4746	0.0006224857583422814
2	WP3584	0.0006006083849998436
2	WP5224	0.0005670556079166234
2	WP4549	0.0005548797430919713
2	WP4657	0.000522409020830305
2	WP4541	0.0005209536417610429
2	WP4932	0.0004924653717247538
2	WP5053	0.0004538213522477568
2	WP4949	0.0004422692246376289
2	WP5114	0.00039433042995529096
2	WP4312	0.0003934307934793174
2	WP2447	0.00038352506979367964
2	WP4879	0.0003284186812792347
2	WP4906	0.00030459676004339223
2	WP4540	0.00030311605290878643
2	WP5222	0.00028418687387444527
2	WP3995	0.00028033328041498226
2	WP3998	0.0002472534054306356
2	WP4803	0.00024401495352759594
2	WP2371	0.00023110904075583692
2	WP4823	0.00022069049587036902
2	WP4545	0.00021376092026228544
2	WP5269	0.00020645728595697767
2	WP4288	0.00020146986687342433
2	WP4320	0.00019914147257227193
2	WP5102	0.00019270845492378824
2	WP4224	0.00017145740011364618
2	WP4577	0.00017107753863136098
2	WP4656	0.00015298553527476065
2	WP4971	0.0001455025846676225
2	WP4830	0.00014431480279530055
2	WP4871	0.00014176599106324403
2	WP5074	0.00013778296571957487
2	WP4535	0.0001332730940538531
2	WP5202	0.00012635881928241556
2	WP4844	0.00012629608385797495
2	WP5178	0.00012621536777798856
2	WP5171	0.00012515280279421022
2	WP5052	0.00012162096706012361
2	WP4950	0.00012094363538691669
2	WP4905	0.0001090798064977695
2	WP3569	9.970161675384079e-05
2	WP5103	9.821198646913446e-05
2	WP5221	9.513363048376544e-05
2	WP5193	9.49245497409475e-05
2	WP4947	9.0046103083043e-05
2	WP4942	8.564912595752912e-05
2	WP4595	8.448258875397851e-05
2	WP4522	8.394471861047918e-05
2	WP4842	8.301162827167574e-05
2	WP4686	8.043805024320931e-05
2	WP4225	8.033268973828017e-05
2	WP5234	8.030070545332732e-05
2	WP4297	7.432304914764444e-05
2	WP5110	6.973442173954894e-05
2	WP4156	6.663218984661073e-05
2	WP4792	6.391056000441772e-05
2	WP5195	6.365511710023356e-05
2	WP3853	6.309238026252603e-05
2	WP5101	6.258099574500692e-05
2	WP5190	6.225127095715087e-05
2	WP4523	6.100892608141708e-05
2	WP5200	5.9691377909532784e-05
2	WP4814	5.829340033830299e-05
2	WP5173	5.491864166688523e-05
2	WP5176	5.2570083477067875e-05
2	WP5108	4.968271874727737e-05
2	WP5120	4.7261265815583514e-05
2	WP4153	4.716503150470085e-05
2	WP4259	3.805972753294235e-05
2	WP5169	3.7043771048477376e-05
2	WP4504	3.406838149954077e-05
2	WP4688	3.263770166591006e-05
2	WP5189	3.1578357582667444e-05
2	WP5166	3.142225772971491e-05
2	WP4220	3.0969223035890275e-05
2	WP5111	2.9021343237911975e-05
2	WP4524	2.7336693058608005e-05
2	WP5109	2.54929235313384e-05
2	WP4292	2.170873349519457e-05
2	WP4518	1.965787044758522e-05
2	WP5112	1.8968151612565935e-05
2	WP4157	1.7853599658720523e-05
2	WP5175	1.716727912329972e-05
2	WP5223	1.645141556395158e-05
2	WP5104	1.6426444696054423e-05
2	WP4804	1.406810019246046e-05
2	WP4507	1.1091140475624334e-05
2	WP5030	1.0577129074274595e-05
2	WP4521	9.213432722213821e-06
2	WP4236	8.354978853471225e-06
2	WP5037	8.059486315776244e-06
2	WP4271	3.3256524881371416e-06
2	WP4940	3.061691447086069e-06
2	WP4519	2.513600116434599e-06
2	WP4299	2.327540507105706e-06
2	WP4506	2.3176041296554266e-06
2	WP4228	2.0458803599255916e-06
2	WP5031	9.755018250577056e-07
